Date, Time, Open, High, Low, Last, Volume
2026-6-15, 23:09:00.000000, 7621.50, 7621.50, 7620.75, 7621.25, 0
2026-6-15, 23:10:00.000000, 7621.50, 7621.75, 7621.25, 7621.75, 26
2026-6-15, 23:11:00.000000, 7621.75, 7622.25, 7621.75, 7622.00, 53
2026-6-15, 23:12:00.000000, 7622.00, 7622.25, 7621.50, 7621.75, 64
2026-6-15, 23:13:00.000000, 7621.75, 7622.00, 7621.25, 7621.50, 45
2026-6-15, 23:14:00.000000, 7621.50, 7622.00, 7621.25, 7621.75, 29
2026-6-15, 23:15:00.000000, 7622.00, 7622.50, 7621.75, 7622.00, 30
2026-6-15, 23:16:00.000000, 7622.25, 7622.50, 7621.25, 7621.25, 44
2026-6-15, 23:17:00.000000, 7621.00, 7621.50, 7621.00, 7621.25, 57
2026-6-15, 23:18:00.000000, 7621.00, 7621.25, 7619.50, 7619.75, 97
2026-6-15, 23:19:00.000000, 7619.50, 7620.00, 7619.25, 7619.75, 90
2026-6-15, 23:20:00.000000, 7619.75, 7621.00, 7619.75, 7620.25, 74
2026-6-15, 23:21:00.000000, 7620.50, 7621.75, 7620.50, 7621.25, 100
2026-6-15, 23:22:00.000000, 7621.25, 7621.50, 7621.25, 7621.25, 57
2026-6-15, 23:23:00.000000, 7621.50, 7622.00, 7621.50, 7622.00, 27
2026-6-15, 23:24:00.000000, 7621.75, 7621.75, 7621.00, 7621.25, 40
2026-6-15, 23:25:00.000000, 7621.25, 7621.25, 7620.25, 7620.50, 65
2026-6-15, 23:26:00.000000, 7620.50, 7621.25, 7620.50, 7621.25, 44
2026-6-15, 23:27:00.000000, 7621.50, 7621.50, 7620.00, 7620.25, 115
2026-6-15, 23:28:00.000000, 7620.25, 7620.75, 7620.00, 7620.00, 38
2026-6-15, 23:29:00.000000, 7620.00, 7620.50, 7620.00, 7620.25, 35
2026-6-15, 23:30:00.000000, 7620.50, 7620.50, 7619.75, 7620.25, 74
2026-6-15, 23:31:00.000000, 7620.00, 7621.00, 7619.50, 7620.50, 107
2026-6-15, 23:32:00.000000, 7620.75, 7621.00, 7620.50, 7620.50, 44
2026-6-15, 23:33:00.000000, 7620.25, 7620.75, 7620.25, 7620.50, 35
2026-6-15, 23:34:00.000000, 7620.50, 7620.50, 7620.00, 7620.00, 41
2026-6-15, 23:35:00.000000, 7619.75, 7620.50, 7619.50, 7620.50, 45
2026-6-15, 23:36:00.000000, 7620.50, 7620.50, 7619.25, 7620.00, 60
2026-6-15, 23:37:00.000000, 7619.75, 7620.25, 7619.75, 7620.25, 28
2026-6-15, 23:38:00.000000, 7620.25, 7621.25, 7620.25, 7621.25, 48
2026-6-15, 23:39:00.000000, 7621.00, 7621.50, 7621.00, 7621.25, 23
2026-6-15, 23:40:00.000000, 7621.50, 7621.75, 7621.25, 7621.75, 105
2026-6-15, 23:41:00.000000, 7621.75, 7622.00, 7621.50, 7621.75, 58
2026-6-15, 23:42:00.000000, 7621.75, 7621.75, 7620.25, 7620.75, 97
2026-6-15, 23:43:00.000000, 7620.75, 7620.75, 7620.25, 7620.25, 30
2026-6-15, 23:44:00.000000, 7620.00, 7620.50, 7619.25, 7619.50, 56
2026-6-15, 23:45:00.000000, 7619.50, 7620.00, 7619.25, 7620.00, 103
2026-6-15, 23:46:00.000000, 7619.75, 7619.75, 7619.00, 7619.25, 91
2026-6-15, 23:47:00.000000, 7619.25, 7619.25, 7617.75, 7618.00, 124
2026-6-15, 23:48:00.000000, 7618.00, 7618.00, 7617.00, 7617.25, 159
2026-6-15, 23:49:00.000000, 7617.25, 7618.00, 7617.00, 7618.00, 113
2026-6-15, 23:50:00.000000, 7617.75, 7617.75, 7616.00, 7616.50, 231
2026-6-15, 23:51:00.000000, 7616.25, 7616.50, 7615.25, 7615.75, 235
2026-6-15, 23:52:00.000000, 7615.75, 7617.00, 7615.75, 7615.75, 111
2026-6-15, 23:53:00.000000, 7615.75, 7616.50, 7615.75, 7616.25, 47
2026-6-15, 23:54:00.000000, 7616.25, 7616.25, 7615.75, 7616.00, 36
2026-6-15, 23:55:00.000000, 7615.50, 7616.75, 7615.00, 7616.50, 115
2026-6-15, 23:56:00.000000, 7616.50, 7618.00, 7616.50, 7617.75, 220
2026-6-15, 23:57:00.000000, 7617.75, 7617.75, 7617.25, 7617.50, 88
2026-6-15, 23:58:00.000000, 7618.00, 7618.50, 7618.00, 7618.50, 53
2026-6-15, 23:59:00.000000, 7618.50, 7619.00, 7618.25, 7618.25, 58
2026-6-16, 00:00:00.000000, 7618.50, 7620.00, 7618.50, 7619.75, 116
2026-6-16, 00:01:00.000000, 7619.75, 7621.00, 7619.50, 7620.75, 102
2026-6-16, 00:02:00.000000, 7620.75, 7621.00, 7620.50, 7621.00, 102
2026-6-16, 00:03:00.000000, 7621.00, 7621.50, 7620.75, 7621.25, 81
2026-6-16, 00:04:00.000000, 7621.50, 7621.50, 7620.50, 7621.00, 48
2026-6-16, 00:05:00.000000, 7621.00, 7622.00, 7619.75, 7621.50, 106
2026-6-16, 00:06:00.000000, 7621.50, 7621.75, 7621.00, 7621.50, 47
2026-6-16, 00:07:00.000000, 7621.25, 7621.25, 7620.50, 7620.75, 107
2026-6-16, 00:08:00.000000, 7621.00, 7621.50, 7620.50, 7620.75, 54
2026-6-16, 00:09:00.000000, 7621.00, 7621.75, 7621.00, 7621.50, 43
2026-6-16, 00:10:00.000000, 7621.50, 7623.75, 7621.50, 7623.75, 126
2026-6-16, 00:11:00.000000, 7623.75, 7624.75, 7623.75, 7623.75, 110
2026-6-16, 00:12:00.000000, 7623.75, 7623.75, 7623.50, 7623.50, 73
