Date, Time, Open, High, Low, Last, Volume
6/15/2026, 23:09:00.000000, 30825.00, 30826.25, 30820.50, 30823.50, 0
6/15/2026, 23:10:00.000000, 30824.00, 30824.75, 30821.25, 30824.75, 22
6/15/2026, 23:11:00.000000, 30826.50, 30832.50, 30826.50, 30831.00, 59
6/15/2026, 23:12:00.000000, 30832.25, 30832.25, 30829.25, 30830.00, 15
6/15/2026, 23:13:00.000000, 30829.25, 30831.50, 30827.00, 30827.00, 21
6/15/2026, 23:14:00.000000, 30828.00, 30831.25, 30828.00, 30830.50, 26
6/15/2026, 23:15:00.000000, 30830.50, 30834.75, 30830.50, 30832.00, 72
6/15/2026, 23:16:00.000000, 30834.00, 30834.50, 30824.50, 30824.50, 38
6/15/2026, 23:17:00.000000, 30824.25, 30826.75, 30823.25, 30824.75, 50
6/15/2026, 23:18:00.000000, 30823.50, 30824.25, 30813.50, 30814.25, 129
6/15/2026, 23:19:00.000000, 30815.00, 30815.00, 30809.00, 30812.50, 104
6/15/2026, 23:20:00.000000, 30812.75, 30819.00, 30812.75, 30816.75, 84
6/15/2026, 23:21:00.000000, 30818.25, 30830.75, 30818.25, 30827.75, 96
6/15/2026, 23:22:00.000000, 30827.00, 30830.00, 30825.75, 30828.25, 30
6/15/2026, 23:23:00.000000, 30828.00, 30832.00, 30828.00, 30831.25, 20
6/15/2026, 23:24:00.000000, 30830.75, 30830.75, 30826.50, 30827.00, 49
6/15/2026, 23:25:00.000000, 30826.75, 30826.75, 30821.50, 30822.75, 52
6/15/2026, 23:26:00.000000, 30822.75, 30829.75, 30822.50, 30828.75, 28
6/15/2026, 23:27:00.000000, 30828.50, 30830.00, 30822.25, 30824.50, 55
6/15/2026, 23:28:00.000000, 30825.50, 30825.50, 30818.75, 30820.00, 34
6/15/2026, 23:29:00.000000, 30821.00, 30824.00, 30821.00, 30824.00, 43
6/15/2026, 23:30:00.000000, 30824.25, 30824.50, 30819.25, 30822.25, 48
6/15/2026, 23:31:00.000000, 30821.75, 30826.50, 30817.25, 30825.00, 69
6/15/2026, 23:32:00.000000, 30825.25, 30827.50, 30824.75, 30825.75, 29
6/15/2026, 23:33:00.000000, 30823.25, 30826.25, 30822.75, 30824.50, 23
6/15/2026, 23:34:00.000000, 30823.75, 30824.25, 30821.00, 30821.00, 39
6/15/2026, 23:35:00.000000, 30821.00, 30824.75, 30818.75, 30824.50, 22
6/15/2026, 23:36:00.000000, 30823.25, 30823.25, 30817.50, 30822.50, 31
6/15/2026, 23:37:00.000000, 30820.75, 30823.50, 30820.25, 30823.50, 22
6/15/2026, 23:38:00.000000, 30824.25, 30830.25, 30823.00, 30828.25, 60
6/15/2026, 23:39:00.000000, 30829.00, 30830.25, 30828.00, 30829.25, 47
6/15/2026, 23:40:00.000000, 30830.25, 30831.00, 30828.50, 30830.25, 206
6/15/2026, 23:41:00.000000, 30830.00, 30831.00, 30829.00, 30830.00, 199
6/15/2026, 23:42:00.000000, 30829.75, 30830.00, 30821.50, 30824.00, 130
6/15/2026, 23:43:00.000000, 30823.75, 30823.75, 30820.75, 30820.75, 14
6/15/2026, 23:44:00.000000, 30820.75, 30823.00, 30815.50, 30816.50, 40
6/15/2026, 23:45:00.000000, 30816.50, 30819.00, 30815.00, 30818.25, 67
6/15/2026, 23:46:00.000000, 30818.75, 30819.00, 30815.25, 30817.00, 28
6/15/2026, 23:47:00.000000, 30816.50, 30816.50, 30810.00, 30810.25, 47
6/15/2026, 23:48:00.000000, 30809.50, 30809.50, 30803.75, 30806.75, 88
6/15/2026, 23:49:00.000000, 30805.75, 30810.00, 30805.50, 30809.00, 40
6/15/2026, 23:50:00.000000, 30808.75, 30809.25, 30798.25, 30801.50, 96
6/15/2026, 23:51:00.000000, 30801.75, 30802.75, 30794.25, 30796.75, 74
6/15/2026, 23:52:00.000000, 30797.25, 30802.75, 30797.25, 30798.50, 36
6/15/2026, 23:53:00.000000, 30798.25, 30803.00, 30797.00, 30802.00, 60
6/15/2026, 23:54:00.000000, 30801.50, 30803.00, 30799.00, 30799.00, 42
6/15/2026, 23:55:00.000000, 30798.75, 30805.00, 30796.25, 30805.00, 72
6/15/2026, 23:56:00.000000, 30804.00, 30812.00, 30803.50, 30810.75, 82
6/15/2026, 23:57:00.000000, 30810.25, 30810.25, 30807.00, 30809.25, 18
6/15/2026, 23:58:00.000000, 30809.75, 30815.00, 30809.75, 30814.25, 33
6/15/2026, 23:59:00.000000, 30814.50, 30818.25, 30814.25, 30814.75, 46
6/16/2026, 00:00:00.000000, 30815.50, 30824.75, 30815.50, 30823.00, 85
6/16/2026, 00:01:00.000000, 30823.00, 30828.50, 30819.75, 30827.25, 57
6/16/2026, 00:02:00.000000, 30827.25, 30828.75, 30825.00, 30828.50, 32
6/16/2026, 00:03:00.000000, 30828.25, 30830.00, 30826.25, 30829.25, 69
6/16/2026, 00:04:00.000000, 30829.50, 30830.25, 30824.00, 30826.50, 80
6/16/2026, 00:05:00.000000, 30827.00, 30830.25, 30820.50, 30829.25, 89
6/16/2026, 00:06:00.000000, 30828.25, 30828.25, 30824.25, 30825.00, 30
6/16/2026, 00:07:00.000000, 30825.25, 30825.25, 30821.75, 30822.00, 27
6/16/2026, 00:08:00.000000, 30823.75, 30824.25, 30820.25, 30822.25, 33
6/16/2026, 00:09:00.000000, 30823.50, 30828.00, 30823.50, 30826.25, 38
6/16/2026, 00:10:00.000000, 30827.50, 30839.00, 30826.00, 30838.50, 102
