entry_ts,msg_id,instrument,direction,entry,stop,tp1,tp2,tp3,R_tp1_full_net,R_tp2_full_net,R_tp1half_tp2_net,R_trail_net,realized_R,text_tp_hit,outcome_type,vis_conf,chart_date
2026-01-02T05:24:13.271000+00:00,1456518424778903764,NQ,long,25612.5,25612.5,25629.25,25678.25,,,,,,5,tp3,tp_hit,medium,
2026-01-05T15:05:03.521000+00:00,1457751760918810727,ES,long,6944.75,6933.75,6967.75,,,0.038,,,0.038,,none,breakeven,medium,
2026-01-05T19:53:04.405000+00:00,1457824242199695390,ES,short,6945.0,6950.0,6945.0,6933.75,,-1.116,,,-1.116,-0.5,none,explicit_r,medium,
2026-01-06T14:50:16.402000+00:00,1458110427937374391,NQ,long,25698.75,25633.0,25802.75,,,1.474,,,1.474,,none,breakeven,medium,
2026-01-06T17:07:10.505000+00:00,1458144880382447710,ES,long,6965.0,6957.25,6977.25,,,1.506,,,1.506,3.2,tp2,tp_hit,high,2026-01-06
2026-01-07T15:07:03.373000+00:00,1458477039345598596,NQ,long,25812.25,25793.5,25853.75,25934.75,,1.835,6.155,0.728,-0.379,,none,breakeven,medium,2026-01-07
2026-01-07T15:49:02.944000+00:00,1458487607192457330,NQ,long,25877.25,25837.5,25899.0,25935.25,25967.25,0.369,1.281,0.825,2.086,,tp1,tp_hit,medium,
2026-01-08T14:57:30.608000+00:00,1458837024860672027,NQ,short,25624.5,25701.0,25590.5,25528.0,25527.5,0.352,-1.093,0.129,-0.093,-1,none,stopped,medium,
2026-01-08T16:35:28.331000+00:00,1458861677817762019,NQ,short,25608.5,25698.75,25527.5,,,-1.079,,,-1.079,0.5,none,explicit_r,medium,
2026-01-09T15:32:03.461000+00:00,1459208106901897301,NQ,long,25843.5,25792.5,25890.0,25925.5,,-1.139,-1.139,-1.139,-1.139,-0.5,none,explicit_r,medium,
2026-01-09T16:45:06.775000+00:00,1459226491853344769,ES,long,6996.0,6990.0,7006.75,7011.0,,1.695,2.403,2.049,2.403,2.3,tp1,tp_hit,high,
2026-01-12T14:54:11.421000+00:00,1460285740872106100,NQ,long,25898.25,25834.0,25994.25,,,,,,,1.2,tp1,explicit_r,medium,2026-01
2026-01-13T15:10:39.175000+00:00,1460652271678525575,ES,short,6998.25,7008.5,6993.0,6970.25,,0.456,-1.057,0.2,-0.057,,none,breakeven,high,
2026-01-13T15:39:03.559000+00:00,1460659420382887966,NQ,short,25842.0,25884.0,25800.0,25751.5,25750.75,-1.169,-1.169,-1.169,-1.169,,none,breakeven,high,
2026-01-14T14:52:07.359000+00:00,1461009996249825485,NQ,short,25640.25,25699.5,25615.5,25569.5,25528.0,0.298,1.074,0.686,0.298,,tp1,tp_hit,high,
2026-01-14T15:23:05.670000+00:00,1461017790571090062,NQ,long,25680.75,25605.25,25745.0,25789.5,,-1.094,-1.094,-1.094,-1.094,,none,unclear,medium,2026-01-14
2026-01-14T15:43:34.182000+00:00,1461022943323619370,,,,,,,,,,,,,none,breakeven,,
2026-01-14T16:36:04.609000+00:00,1461036157172322347,NQ,short,25541.5,25592.25,25431.75,,,2.023,,,2.023,2,tp1,tp_hit,high,
2026-01-15T16:48:49.643000+00:00,1461401753822957700,ES,long,7011.75,7006.25,7020.5,7027.5,,-1.105,-1.105,-1.105,-1.105,0.5,none,explicit_r,high,
2026-01-15T17:46:02.027000+00:00,1461416150285156382,ES,long,7007.25,7004.5,7010.75,7017.75,,1.062,-1.211,0.425,-0.211,-0.5,none,stopped,medium,
2026-01-16T06:21:57.383000+00:00,1461606384436117602,,,,,,,,,,,,,none,breakeven,,
2026-01-16T15:12:52.446000+00:00,1461739994254409911,NQ,short,25736.0,25765.5,25676.75,,,1.768,,,1.768,1.5,tp1,tp_hit,medium,2026-01-16
